CountryCode,year,rmultiGini,gdppercappppconst
ARM,1960,,
ARM,1961,,
ARM,1962,,
ARM,1963,,
ARM,1964,,
ARM,1965,,
ARM,1966,,
ARM,1967,,
ARM,1968,,
ARM,1969,,
ARM,1970,,
ARM,1971,,
ARM,1972,,
ARM,1973,,
ARM,1974,,
ARM,1975,,
ARM,1976,,
ARM,1977,,
ARM,1978,,
ARM,1979,,
ARM,1980,,
ARM,1981,,
ARM,1982,,
ARM,1983,,
ARM,1984,,
ARM,1985,,
ARM,1986,,
ARM,1987,,
ARM,1988,,
ARM,1989,,
ARM,1990,,2937.892511
ARM,1991,,2618.271461
ARM,1992,,1551.268265
ARM,1993,,1448.15593
ARM,1994,,1563.387884
ARM,1995,,1706.192383
ARM,1996,42,1835.300377
ARM,1997,,1918.844455
ARM,1998,,2075.962425
ARM,1999,,2157.289689
ARM,2000,,2295.358013
ARM,2001,,2523.155836
ARM,2002,35.900002,2860.291798
ARM,2003,48.400002,3262.446256
ARM,2004,45.5,3601.532202
ARM,2005,43.400002,4096.440119
ARM,2006,40,4631.212472
ARM,2007,,5260.535273
ARM,2008,,5614.552099000001
ARM,2009,,4810.88772
ARM,2010,,4900.474333
ARM,2011,,5112.397885
ARM,2012,,
ARM,2013,,
ARM,2014,,
ARM,2015,,
ARM,2016,,
ARM,2017,,
ARM,2018,,
AUS,1960,,
AUS,1961,,
AUS,1962,,
AUS,1963,,
AUS,1964,,
AUS,1965,,
AUS,1966,,
AUS,1967,,
AUS,1968,,
AUS,1969,,
AUS,1970,,
AUS,1971,,
AUS,1972,,
AUS,1973,,
AUS,1974,,
AUS,1975,,
AUS,1976,,
AUS,1977,,
AUS,1978,,
AUS,1979,,
AUS,1980,,19783.57295
AUS,1981,31,20134.40151
AUS,1982,,20442.62072
AUS,1983,,19721.31889
AUS,1984,,20424.70898
AUS,1985,32.5,21167.84869
AUS,1986,35.200001,21778.90801
AUS,1987,,22011.91111
AUS,1988,,22877.99659
AUS,1989,33.5,23377.08967
AUS,1990,33,23857.49925
AUS,1991,,23472.79715
AUS,1992,,23292.34384
AUS,1993,,24015.08211
AUS,1994,,24724.34216
AUS,1995,30.200001,25402.9228
AUS,1996,29.6,26072.57632
AUS,1997,29.200001,26788.19095
AUS,1998,30.299999,27709.84066
AUS,1999,,28752.28105
AUS,2000,31,29504.26503
AUS,2001,31.1,29661.99163
AUS,2002,30.9,30448.8046
AUS,2003,,31023.15004
AUS,2004,29.4,31937.43135
AUS,2005,,32523.08811
AUS,2006,,33020.42057
AUS,2007,,33659.85187
AUS,2008,,34237.71983
AUS,2009,,33988.9661
AUS,2010,,34237.88189
AUS,2011,,34395.52187
AUS,2012,,
AUS,2013,,
AUS,2014,,
AUS,2015,,
AUS,2016,,
AUS,2017,,
AUS,2018,,
AUT,1960,,
AUT,1961,,
AUT,1962,,
AUT,1963,,
AUT,1964,,
AUT,1965,,
AUT,1966,,
AUT,1967,,
AUT,1968,,
AUT,1969,,
AUT,1970,,
AUT,1971,,
AUT,1972,,
AUT,1973,,
AUT,1974,,
AUT,1975,,
AUT,1976,,
AUT,1977,,
AUT,1978,,
AUT,1979,,
AUT,1980,,20713.73706
AUT,1981,,20631.16789
AUT,1982,,21031.02492
AUT,1983,,21691.32088
AUT,1984,,21703.80935
AUT,1985,,22235.67545
AUT,1986,,22732.95452
AUT,1987,,23026.90191
