,year,AUT,BEL,BGR,BLR,BOL,BRA,CAN,CHL,CHN,COL,CRI,CZE,DEU,DNK,DOM,ECU,ESP,EST,FIN,FRA,GBR,GRC,GTM,HUN,IND,IRL,ISR,ITA,JAM,LTU,LUX,MEX,MLT,NLD,NZL,PAN,PER,PHL,POL,PRT,SVK,THA,USA
sSSP1,2011,26.074261,28.349951,36.120251,25.279303,55.876625,59.203163,28.76889,58.047497,48.099998,55.297523,46.449181,26.505743,28.561117,23.298113,51.854473,28.012888,33.605694,35.533546,25.780231,28.127989,35.439495,34.659046,57.744923,27.355345,37.923817,31.492327,38.349583,32.411652,61.942078,17.076878,29.172989,57.115627,27.784599,27.269941,33.467159,53.05592,48.098736,43.926178,36.773716,38.263371,27.033804,42.956448,40.481236
sSSP1,2012,26.737581,27.892925,35.952427,25.569714,55.509064,58.319427,27.348158,57.815193,48.250111,55.392326,46.453136,26.51177,28.793625,22.865856,51.83432,27.13595,32.625969,35.568768,25.914927,28.652039,35.042252,33.313183,57.460217,27.440077,37.571003,29.997099,38.609806,32.099373,62.41584,16.494305,27.789679,57.060982,27.876877,27.063364,33.076466,53.174179,47.375439,44.544178,36.528728,37.848225,27.035683,41.551853,40.103184
sSSP1,2013,26.663389,27.666283,35.914841,25.520451,55.266956,58.028004,27.203054,57.758877,47.892101,55.238586,46.595863,26.321898,28.617231,22.75605,51.510471,26.884329,32.600189,35.227947,25.801706,28.5163,34.856159,33.025131,57.417557,27.314604,37.209988,29.814785,38.529495,31.993227,62.380867,16.329796,27.54788,57.027859,27.835302,26.898325,33.00531,53.120426,47.273418,44.328678,36.436726,37.405499,26.93854,41.339809,40.097363
sSSP1,2014,26.71508,27.669338,35.817028,25.355469,55.004005,58.01025,27.086706,57.609093,47.8032,55.095963,46.416859,26.305338,28.65617,22.738316,51.314457,26.743456,32.610428,35.130196,25.689604,28.527052,34.788837,33.051594,57.371674,27.265701,36.569725,29.735641,38.589867,32.016895,62.319851,16.253937,27.490143,57.082405,27.892046,26.862347,32.975849,53.044735,47.138519,44.06258,36.350204,37.362411,27.029356,41.350525,40.098137
sSSP1,2015,26.758347,27.500769,35.7798,25.22089,54.72953,58.027618,27.01907,57.475681,47.577114,54.896294,46.258564,26.242113,28.602186,22.664192,51.238609,26.558668,32.451839,34.936508,25.60277,28.44339,34.695583,32.820885,57.333923,27.250036,36.130428,29.632095,38.502277,31.99288,62.237953,16.239313,27.345503,57.145859,27.940046,26.734249,32.887161,52.954208,47.002972,43.800858,36.155041,37.222046,27.148973,41.119053,40.122746
sSSP1,2016,26.782522,27.33794,35.726013,25.115076,54.316517,57.968422,26.9359,57.251362,47.2374,54.663872,45.796356,26.253918,28.526665,22.541491,51.12114,26.288805,32.331829,34.650402,25.525936,28.333687,34.580677,32.739204,57.02346,27.209145,35.689354,29.616381,38.42078,32.003826,62.144405,16.061968,27.169306,57.142197,27.963928,26.652906,32.766216,52.748959,46.813919,43.509644,35.93919,37.103821,27.217773,40.74221,40.153862
sSSP1,2017,26.837683,27.265703,35.867489,25.215233,54.118164,57.976254,26.936716,57.172806,46.988564,54.626343,45.497379,26.19117,28.567305,22.509443,51.195328,26.166103,32.354965,34.56395,25.602766,28.288515,34.525345,32.813412,57.105011,27.262829,35.684246,29.563341,38.4673,32.033993,62.07037,16.206736,27.149319,57.134949,27.939529,26.652008,32.749359,52.616703,46.765896,43.380337,35.899178,37.113525,27.45336,40.487236,40.29911
sSSP1,2018,26.851339,27.214397,36.125523,25.340946,53.882065,57.978046,26.919342,57.106636,46.800758,54.589336,45.23341,26.28046,28.600071,22.5012,51.208889,26.025204,32.325432,34.509087,25.685272,28.252333,34.504032,32.852222,56.830719,27.330616,35.673752,29.589203,38.494488,32.096924,62.003075,16.298422,27.098331,57.113983,27.913923,26.660906,32.705521,52.508965,46.722092,43.231304,35.874458,37.102455,27.706137,40.265274,40.426113
sSSP1,2019,26.824461,27.118797,36.34697,25.435713,53.587025,57.955524,26.882513,57.006992,46.563648,54.531254,44.912693,26.321505,28.596411,22.454834,51.199173,25.847935,32.30727,34.40324,25.72827,28.188749,34.449146,32.868153,56.677414,27.352713,35.650444,29.559965,38.492989,32.134747,61.905006,16.342903,27.056274,57.030373,27.85363,26.621088,32.651672,52.349819,46.647106,43.041622,35.815193,37.05772,27.904261,39.992199,40.522449
sSSP1,2020,26.787796,27.014381,36.556721,25.522364,53.252861,57.925129,26.844162,56.893101,46.303703,54.466167,44.555943,26.349686,28.584728,22.399029,51.186855,25.653286,32.273476,34.283867,25.759974,28.116484,34.384556,32.874554,56.493301,27.365353,35.626755,29.518679,38.48016,32.165791,61.791988,16.372219,27.004807,56.900635,27.780411,26.573343,32.58577,52.175446,46.560612,42.833931,35.742405,37.00079,28.096848,39.695683,40.607635
