cntry_code,year,policy_both3_r1Gini_SSP1,policy_both3_r1Gini_SSP2,policy_both3_r1Gini_SSP3,policy_both3_r1Gini_SSP4
AUT,2011,26.074261,26.06949,26.068783,26.066082
AUT,2012,26.737581,26.804142,26.882103,26.910206
AUT,2013,26.663391,26.807251,26.972239,27.031157
AUT,2014,26.71508,26.942604,27.20299,27.292898
AUT,2015,26.758348,27.075573,27.439514,27.560543
AUT,2016,26.782524,27.201426,27.680796,27.831751
AUT,2017,26.837685,27.326729,27.907501,28.100306
AUT,2018,26.851339,27.416418,28.109791,28.337511
AUT,2019,26.824463,27.4697,28.281431,28.545574
AUT,2020,26.787796,27.517378,28.453342,28.756258
AUT,2021,26.741341,27.559315,28.625334,28.969473
AUT,2022,26.682449,27.596317,28.809433,29.205744
AUT,2023,26.613897,27.627398,28.993221,29.44397
AUT,2024,26.535656,27.652617,29.176672,29.684025
AUT,2025,26.447815,27.671972,29.359682,29.925756
AUT,2026,26.350504,27.685549,29.542278,30.168884
AUT,2027,26.246607,27.697527,29.732769,30.406349
AUT,2028,26.133263,27.703724,29.922626,30.644871
AUT,2029,26.010696,27.704248,30.111862,30.884359
AUT,2030,25.879028,27.699167,30.300478,31.124672
AUT,2031,25.738306,27.688583,30.48856,31.365871
AUT,2032,25.58695,27.669241,30.68243,31.615627
AUT,2033,25.428722,27.64147,30.872179,31.867411
AUT,2034,25.261642,27.609221,31.062277,32.118782
AUT,2035,25.085968,27.572618,31.252718,32.369781
AUT,2036,24.901684,27.531593,31.443544,32.620567
AUT,2037,24.703526,27.47971,31.638306,32.87534
AUT,2038,24.497318,27.42362,31.833307,33.129734
AUT,2039,24.283215,27.363434,32.028557,33.383816
AUT,2040,24.061445,27.299229,32.224045,33.637627
AUT,2041,23.831985,27.230888,32.419838,33.891399
AUT,2042,23.591314,27.151932,32.619816,34.149567
AUT,2043,23.343418,27.069109,32.819946,34.407516
AUT,2044,23.08844,26.982578,33.020245,34.66531
AUT,2045,22.826567,26.892355,33.220699,34.922997
AUT,2046,22.55788,26.798399,33.4216,35.18111
AUT,2047,22.282433,26.697035,33.633217,35.448223
AUT,2048,22.000406,26.592125,33.844929,35.715282
AUT,2049,21.711882,26.483799,34.056744,35.982342
AUT,2050,21.417368,26.372608,34.268932,36.249737
AUT,2051,21.159569,26.258331,34.481651,36.517879
AUT,2052,20.903536,26.142569,34.705776,36.795742
AUT,2053,20.644199,26.023523,34.929848,37.07357
AUT,2054,20.381666,25.901237,35.153851,37.35141
AUT,2055,20.115978,25.775803,35.377796,37.629299
AUT,2056,19.847673,25.647511,35.6021,37.908001
AUT,2057,19.581167,25.51918,35.837807,38.196411
AUT,2058,19.311733,25.387899,36.073452,38.485008
AUT,2059,19.039522,25.25379,36.309059,38.773846
AUT,2060,18.764513,25.11689,36.544628,39.062969
AUT,2061,18.487186,24.977716,36.780613,39.353088
AUT,2062,18.210365,24.841034,37.026867,39.651573
AUT,2063,17.930956,24.701754,37.273109,39.950428
AUT,2064,17.649061,24.56003,37.519352,40.249714
AUT,2065,17.364662,24.415901,37.765602,40.54945
AUT,2066,17.077734,24.269745,38.012386,40.850407
AUT,2067,16.786688,24.125015,38.27018,41.159512
AUT,2068,16.493282,23.978073,38.528004,41.469151
AUT,2069,16.197552,23.828995,38.785873,41.779369
AUT,2070,15.899574,23.67778,39.043793,42.090183
AUT,2071,15.600121,23.524954,39.302212,42.402218
AUT,2072,15.304642,23.374771,39.569317,42.720406
AUT,2073,15.006992,23.222607,39.836479,43.039246
AUT,2074,14.707217,23.068596,40.103714,43.358757
AUT,2075,14.405375,22.912701,40.371017,43.678974
AUT,2076,14.103477,22.7558,40.638798,44.00034
AUT,2077,13.814776,22.60474,40.913532,44.325905
