cntry_code,year,proj_r1Gini_SSP1,proj_r1Gini_SSP2,proj_r1Gini_SSP3,proj_r1Gini_SSP4,proj_r1Gini_SSP5,proj_rmultiGini_SSP1,proj_rmultiGini_SSP2,proj_rmultiGini_SSP3,proj_rmultiGini_SSP4,proj_rmultiGini_SSP5,gini_std
AUT,2011,26.074261,26.06949,26.068783,26.066082,26.072668,26.106634,26.100088,26.096939,26.093916,26.104774,12.422885
AUT,2012,26.737581,26.804142,26.882103,26.910206,26.734562,26.634933,26.64706,26.669598,26.672831,26.633261,12.472048
AUT,2013,26.663389,26.807251,26.972239,27.031157,26.658817,26.592031,26.627455,26.680357,26.689861,26.590401,12.477098
AUT,2014,26.71508,26.942604,27.20299,27.292898,26.708954,26.708775,26.772722,26.860851,26.876833,26.707188,12.494031
AUT,2015,26.758347,27.075573,27.439514,27.560543,26.750635,26.822889,26.920372,27.04841,27.071028,26.821312,12.513879
AUT,2016,26.782522,27.201426,27.680796,27.831751,26.771065,26.92145,27.064381,27.241405,27.269314,26.91737,12.536764
AUT,2017,26.837683,27.326729,27.907501,28.100306,26.823132,27.068325,27.241478,27.459545,27.496838,27.064442,12.557608
AUT,2018,26.851339,27.416416,28.109791,28.337511,26.827003,27.170982,27.379547,27.647259,27.685884,27.159525,12.576154
AUT,2019,26.824461,27.4697,28.281431,28.545574,26.79063,27.231403,27.47854,27.798052,27.840149,27.213045,12.595765
AUT,2020,26.787796,27.517378,28.453342,28.756258,26.745054,27.286419,27.575418,27.949169,27.997889,27.262211,12.618526
AUT,2021,26.741339,27.559313,28.625334,28.969473,26.690201,27.335741,27.669924,28.100409,28.159048,27.306654,12.644434
AUT,2022,26.682449,27.596315,28.809433,29.205744,26.621174,27.380274,27.763256,28.254326,28.32778,27.346916,12.671099
AUT,2023,26.613895,27.627398,28.993221,29.44397,26.542599,27.418804,27.853745,28.407825,28.499102,27.38168,12.700905
AUT,2024,26.535656,27.652618,29.176672,29.684025,26.454348,27.451105,27.94128,28.560865,28.672844,27.410593,12.733827
AUT,2025,26.447815,27.671974,29.359684,29.925756,26.356321,27.477064,28.025764,28.71332,28.848803,27.433308,12.769838
AUT,2026,26.350504,27.685553,29.542278,30.168884,26.24856,27.496647,28.107206,28.86524,29.026598,27.449707,12.808852
AUT,2027,26.246609,27.697527,29.732771,30.406349,26.13921,27.511488,28.187328,29.018482,29.205446,27.462606,12.849439
AUT,2028,26.133263,27.703726,29.922626,30.644871,26.01967,27.519579,28.264168,29.170889,29.385708,27.468176,12.892947
AUT,2029,26.010695,27.704248,30.111864,30.884357,25.889933,27.520971,28.337751,29.322477,29.567251,27.466171,12.939342
AUT,2030,25.879025,27.699171,30.300478,31.12467,25.749922,27.515633,28.408085,29.473246,29.749903,27.456308,12.988577
AUT,2031,25.738304,27.688581,30.48856,31.36587,25.599499,27.503464,28.475142,29.623322,29.933737,27.438234,13.040638
AUT,2032,25.586946,27.669239,30.682432,31.615625,25.437382,27.485214,28.538969,29.774143,30.120543,27.412924,13.094599
AUT,2033,25.42872,27.64147,30.872179,31.867409,25.271631,27.462315,28.595987,29.920069,30.309784,27.386866,13.151063
AUT,2034,25.261642,27.609221,31.062279,32.118782,25.094296,27.432251,28.650871,30.066492,30.498528,27.350372,13.209834
AUT,2035,25.085968,27.572618,31.252718,32.369778,24.905699,27.395164,28.703663,30.213396,30.686821,27.303688,13.270892
AUT,2036,24.901684,27.531593,31.443546,32.620567,24.70566,27.350895,28.754171,30.360846,30.874876,27.246469,13.334338
AUT,2037,24.703526,27.47971,31.638308,32.87534,24.487707,27.299263,28.80155,30.509415,31.063599,27.178722,13.400095
AUT,2038,24.497318,27.42362,31.833309,33.129734,24.259048,27.240849,28.846771,30.65834,31.251879,27.101078,13.468134
AUT,2039,24.283215,27.363434,32.028561,33.383816,24.019842,27.175749,28.889887,30.807625,31.439798,27.013666,13.538451
AUT,2040,24.061445,27.299229,32.224045,33.63763,23.770302,27.104109,28.930923,30.957249,31.627407,26.916622,13.611045
AUT,2041,23.831985,27.230888,32.419838,33.891399,23.510099,27.025782,28.969643,31.107309,31.814999,26.809458,13.686007
AUT,2042,23.591314,27.151932,32.619816,34.149567,23.233732,26.94075,29.005161,31.258301,32.003281,26.692225,13.763401
AUT,2043,23.343418,27.069109,32.819946,34.40752,22.947334,26.849382,29.03857,31.409529,32.19133,26.565439,13.843104
AUT,2044,23.08844,26.982578,33.020245,34.66531,22.650974,26.751774,29.06996,31.561007,32.379223,26.429131,13.925129
AUT,2045,22.826567,26.892353,33.220699,34.922997,22.34478,26.648037,29.099321,31.712721,32.567028,26.28335,14.009484
AUT,2046,22.55788,26.798399,33.4216,35.18111,22.028175,26.538218,29.12652,31.865042,32.755398,26.127356,14.096182
AUT,2047,22.282433,26.697035,33.633217,35.448223,21.696058,26.422888,29.151262,32.020111,32.946068,25.961222,14.184895
AUT,2048,22.000406,26.592125,33.844929,35.715282,21.354105,26.301558,29.173965,32.175339,33.136719,25.785393,14.275949
AUT,2049,21.711882,26.483797,34.056744,35.982346,21.002295,26.174271,29.194704,32.330727,33.327423,25.599804,14.36937
AUT,2050,21.417368,26.372606,34.268936,36.249737,20.64114,26.041508,29.214041,32.486595,33.518574,25.404953,14.465134
AUT,2051,21.159569,26.258329,34.481655,36.517883,20.338661,25.955961,29.231701,32.643143,33.710682,25.282969,14.544745
AUT,2052,20.903536,26.142569,34.705776,36.795746,20.039288,25.869486,29.248232,32.802521,33.905365,25.159269,14.624711
AUT,2053,20.644199,26.023521,34.929848,37.073574,19.735123,25.780476,29.262697,32.961845,34.100056,25.03142,14.706253
AUT,2054,20.381666,25.901237,35.153854,37.35141,19.426218,25.688982,29.275112,33.121109,34.294807,24.899422,14.789396
AUT,2055,20.115978,25.775801,35.377796,37.629303,19.112585,25.595024,29.285517,33.280308,34.489677,24.763266,14.874162
AUT,2056,19.847673,25.647511,35.6021,37.908005,18.795879,25.499184,29.294222,33.439983,34.685596,24.624868,14.960402
AUT,2057,19.581167,25.51918,35.837807,38.196411,18.485909,25.402296,29.30196,33.602085,34.883904,24.485231,15.047032
AUT,2058,19.311733,25.387899,36.073452,38.485008,18.171391,25.303055,29.307802,33.764126,35.082508,24.341499,15.135287
AUT,2059,19.039522,25.253788,36.309059,38.773846,17.85244,25.201542,29.311831,33.92614,35.281479,24.193729,15.225188
AUT,2060,18.764513,25.11689,36.544628,39.062969,17.529001,25.097748,29.314075,34.088123,35.480877,24.041862,15.316755
AUT,2061,18.487186,24.977715,36.780613,39.353088,17.203129,24.992149,29.315081,34.250641,35.681553,23.888268,15.409879
AUT,2062,18.210365,24.841034,37.026867,39.651573,16.885004,24.885195,29.315632,34.415176,35.884418,23.733383,15.503796
AUT,2063,17.93096,24.701754,37.273109,39.950428,16.562542,24.776041,29.314514,34.579712,36.087814,23.57443,15.599383
AUT,2064,17.649061,24.56003,37.519352,40.24971,16.235819,24.664745,29.311836,34.744267,36.291821,23.411444,15.696656
AUT,2065,17.364664,24.415901,37.765602,40.54945,15.904768,24.551302,29.307625,34.908852,36.496471,23.24436,15.795626
AUT,2066,17.077738,24.269745,38.012386,40.850407,15.569962,24.435577,29.302299,35.074116,36.702686,23.073767,15.896358
AUT,2067,16.78669,24.125015,38.27018,41.159512,15.233477,24.317535,29.296316,35.241592,36.911228,22.899668,15.999108
AUT,2068,16.493286,23.978077,38.528004,41.469151,15,24.197365,29.288921,35.40913,37.120514,22.721354,16.103601
AUT,2069,16.197552,23.828997,38.785873,41.779373,15,24.075089,29.280157,35.576744,37.330605,22.538807,16.209845
AUT,2070,15.899574,23.677784,39.043793,42.090187,15,23.950748,29.270035,35.744431,37.541519,22.35203,16.317844
AUT,2071,15.600121,23.524956,39.302212,42.402218,15,23.825253,29.259121,35.912754,37.754009,22.162848,16.427345
AUT,2072,15.304642,23.374773,39.569317,42.720409,15,23.699039,29.247881,36.08284,37.968506,21.970993,16.536842
AUT,2073,15.006992,23.222609,39.836479,43.039246,15,23.570774,29.235373,36.253021,38.183895,21.774782,16.648046
AUT,2074,15,23.068596,40.103714,43.358761,15,23.440477,29.22167,36.423302,38.400215,21.574184,16.760965
AUT,2075,15,22.912703,40.371017,43.678974,15,23.308176,29.206758,36.593689,38.617496,21.369171,16.875599
AUT,2076,15,22.7558,40.638798,44.00034,15,23.176294,29.191628,36.764679,38.836277,21.163561,16.991291
AUT,2077,15,22.60474,40.913532,44.325905,15,23.045534,29.176949,36.937202,39.056797,20.956301,17.104195
AUT,2078,15,22.451982,41.188335,44.652206,15,22.912813,29.161165,37.109833,39.27832,20.744556,17.21871
AUT,2079,15,22.297543,41.46323,44.979275,15,22.778164,29.144293,37.282581,39.500893,20.528315,17.334841
AUT,2080,15,22.141506,41.738205,45.307121,15,22.641579,29.126379,37.455456,39.724529,20.307507,17.452589
AUT,2081,15,21.984924,42.013577,45.635986,15,22.505413,29.108683,37.628834,39.949512,20.086491,17.571346
AUT,2082,15,21.835943,42.293678,45.967018,15,22.370049,29.091908,37.803402,40.175972,19.863693,17.687576
AUT,2083,15,21.685438,42.573868,46.298855,15,22.23278,29.074141,37.978096,40.40353,19.636269,17.80537
AUT,2084,15,21.533482,42.854156,46.631535,15,22.093597,29.055428,38.152927,40.632236,19.404131,17.924736
AUT,2085,15,21.380173,43.134544,46.965065,15,21.952547,29.035831,38.327896,40.862106,19.167255,18.045677
AUT,2086,15,21.226612,43.415195,47.299088,15,21.813007,29.016706,38.503204,41.092705,18.932785,18.167339
AUT,2087,15,21.080957,43.69812,47.631016,15,21.675224,28.998688,38.679192,41.324039,18.697775,18.284906
AUT,2088,15,20.933981,43.98114,47.963806,15,21.535614,28.979801,38.855312,41.556553,18.458042,18.403992
AUT,2089,15,20.785789,44.264271,48.297478,15,21.394169,28.960123,39.031578,41.790268,18.213528,18.524601
AUT,2090,15,20.636349,44.547501,48.632057,15,21.250906,28.939631,39.207989,42.025219,17.964182,18.646746
AUT,2091,15,20.487186,44.830845,48.966747,15,21.110792,28.920105,39.384548,42.26046,17.719807,18.769209
AUT,2092,15,20.347446,45.1143,49.297226,15,20.973465,28.901918,39.561234,42.495918,17.475594,18.885561
AUT,2093,15,20.206556,45.397854,49.628582,15,20.834421,28.88298,39.738052,42.732586,17.226681,19.00338
AUT,2094,15,20.064592,45.681511,49.960857,15,20.693703,28.86335,39.915012,42.970509,16.973022,19.122669
AUT,2095,15,19.921597,45.965271,50.29406,15,20.551268,28.843048,40.092121,43.209702,16.714548,19.243446
AUT,2096,15,19.778885,46.249069,50.627499,15,20.412056,28.823624,40.269287,43.449341,16.460186,19.364525
AUT,2097,15,19.643593,46.5322,50.957699,15,20.275335,28.805109,40.446346,43.689377,16.205101,19.480001
AUT,2098,15,19.507343,46.815426,51.288811,15,20.137022,28.785965,40.623543,43.930668,15.945286,19.596928
AUT,2099,15,19.370169,47.098755,51.620876,15,19.997114,28.766226,40.80088,44.173271,15.680684,19.715317
AUT,2100,15,19.232058,47.382191,51.953903,15,19.855623,28.745888,40.978367,44.417194,15.411225,19.835178
BLR,2011,25.279303,25.271547,25.266167,25.263435,25.279062,36.966496,36.956741,36.948177,36.945168,36.966221,12.616134
BLR,2012,25.569714,25.820679,25.948997,25.919477,25.57011,37.46426,37.558655,37.599472,37.645531,37.464413,12.412858
BLR,2013,25.520451,26.03499,26.305437,26.24925,25.521482,37.53833,37.740215,37.835178,37.930447,37.53891,12.447382
BLR,2014,25.355469,26.140158,26.560537,26.477753,25.357121,37.482784,37.797615,37.950909,38.095463,37.483772,12.484398
BLR,2015,25.22089,26.285347,26.86413,26.755146,25.223164,37.473598,37.910557,38.127258,38.321571,37.474998,12.538318
BLR,2016,25.115076,26.472342,27.220016,27.084543,25.118195,37.509041,38.081108,38.368649,38.612576,37.51112,12.608786
BLR,2017,25.215233,26.750391,27.612854,27.519045,25.218971,37.674789,38.358429,38.699085,39.015785,37.677071,12.686806
BLR,2018,25.340946,27.074518,28.069944,28.008825,25.331011,37.878075,38.695545,39.106094,39.485157,37.86396,12.772083
BLR,2019,25.435713,27.368601,28.491734,28.476543,25.424229,38.051109,39.001118,39.470345,39.928017,38.035774,12.861341
BLR,2020,25.522364,27.656021,28.908157,28.947128,25.51696,38.221218,39.303177,39.827885,40.374393,38.214478,12.957071
BLR,2021,25.602335,27.937958,29.320576,29.422745,25.610632,38.389915,39.603065,40.180378,40.82692,38.401619,13.059041
BLR,2022,25.700924,28.236902,29.756731,29.935211,25.729311,38.570393,39.914597,40.543652,41.306568,38.610104,13.15425
BLR,2023,25.790541,28.528309,30.186321,30.44945,25.846062,38.746223,40.221195,40.898708,41.788342,38.823177,13.25627
BLR,2024,25.87067,28.811951,30.609007,30.965128,25.960094,38.916615,40.522404,41.245113,42.27182,39.039742,13.365294
BLR,2025,25.940924,29.087543,31.024391,31.481903,26.070539,39.080891,40.817776,41.582378,42.756584,39.258572,13.481502
BLR,2026,26.000156,29.355095,31.433426,31.99382,26.175486,39.237492,41.107208,41.911644,43.235432,39.477196,13.605227
BLR,2027,26.032026,29.610676,31.84972,32.458084,26.256985,39.389233,41.396156,42.242149,43.683514,39.697735,13.727265
BLR,2028,26.052406,29.857445,32.257664,32.921795,26.331181,39.532379,41.677986,42.562191,44.130882,39.915543,13.857195
BLR,2029,26.06098,30.095196,32.656902,33.384708,26.396908,39.666336,41.952351,42.871334,44.577217,40.128994,13.995125
BLR,2030,26.05731,30.323721,33.0471,33.846561,26.452856,39.790417,42.218891,43.16914,45.022209,40.336327,14.141135
BLR,2031,26.038559,30.541679,33.427868,34.305428,26.494753,39.901073,42.475864,43.455139,45.463528,40.532269,14.2958
BLR,2032,25.979868,30.729048,33.7957,34.74152,26.497549,39.99826,42.722855,43.730854,45.898838,40.716549,14.454187
BLR,2033,25.914083,30.89703,34.14043,35.169483,26.507139,40.090973,42.949867,43.978798,46.324512,40.913166,14.62032
BLR,2034,25.830885,31.063267,34.486591,35.601383,26.490313,40.166649,43.178074,44.228516,46.755093,41.081989,14.792727
BLR,2035,25.730347,31.227812,34.83411,36.037132,26.447502,40.225201,43.407436,44.479935,47.190472,41.223408,14.97132
BLR,2036,25.611435,31.389669,35.182762,36.475277,26.377905,40.265282,43.636677,44.732769,47.62891,41.336369,15.15624
BLR,2037,25.464737,31.53454,35.529312,36.902634,26.273796,40.288872,43.865803,44.987221,48.06934,41.424068,15.343904
BLR,2038,25.300631,31.677671,35.877026,37.333424,26.144426,40.29483,44.095787,45.243114,48.514061,41.484867,15.537623
BLR,2039,25.119131,31.819101,36.225842,37.767593,25.990093,40.283092,44.326595,45.500393,48.963001,41.519077,15.737322
BLR,2040,24.92037,31.958857,36.575733,38.205074,25.811186,40.25367,44.558197,45.759007,49.41608,41.527061,15.942923
BLR,2041,24.705442,32.096542,36.926792,38.645302,25.609478,40.207767,44.790035,46.019077,49.872623,41.510841,16.154137
BLR,2042,24.477295,32.22554,37.279613,39.083382,25.388594,40.147369,45.023075,46.28167,50.333107,41.472759,16.368494
BLR,2043,24.232189,32.352917,37.633377,39.524544,25.143917,40.069321,45.256767,46.545437,50.797443,41.409134,16.588501
BLR,2044,23.970221,32.478775,37.988041,39.968739,24.875641,39.973648,45.491123,46.810333,51.265575,41.32016,16.814114
BLR,2045,23.691542,32.6031,38.343582,40.415939,24.583984,39.860428,45.726093,47.076321,51.737469,41.206017,17.045301
BLR,2046,23.400351,32.72636,38.700577,40.866974,24.274464,39.734554,45.96217,47.344086,52.214104,41.073162,17.28109
BLR,2047,23.110628,32.85009,39.064335,41.32608,23.959776,39.597065,46.200996,47.615486,52.697315,40.921642,17.519293
BLR,2048,22.804766,32.972412,39.428894,41.788094,23.622295,39.442432,46.440411,47.88789,53.184158,40.745464,17.762732
BLR,2049,22.482821,33.093418,39.794231,42.252991,23.262024,39.270679,46.680431,48.161259,53.67461,40.544609,18.011402
BLR,2050,22.144968,33.213192,40.160324,42.720753,22.879026,39.081898,46.921082,48.43557,54.168648,40.319077,18.265312
BLR,2051,21.993038,33.332119,40.528152,43.191479,22.747168,39.113403,47.162815,48.71199,54.666386,40.389915,18.479036
BLR,2052,21.844955,33.451916,40.906223,43.665298,22.617668,39.143517,47.406944,48.992947,55.168636,40.458805,18.693663
BLR,2053,21.692104,33.570602,41.285015,44.141907,22.482485,39.169376,47.651699,49.274803,55.674374,40.522709,18.910664
BLR,2054,21.534649,33.688213,41.664516,44.6213,22.341812,39.191101,47.897079,49.557541,56.183601,40.581814,19.130035
BLR,2055,21.372673,33.804829,42.044712,45.103481,22.195793,39.208759,48.143124,49.841145,56.69632,40.636276,19.35178
BLR,2056,21.2055,33.919617,42.426056,45.58659,22.043415,39.221485,48.38879,50.126148,57.210331,40.68486,19.576094
BLR,2057,21.031221,34.026451,42.812057,46.063366,21.883221,39.23,48.63406,50.413494,57.724743,40.728905,19.802998
BLR,2058,20.852726,34.132401,43.198746,46.542854,21.717995,39.234642,48.87999,50.701694,58.242554,40.76857,20.032276
BLR,2059,20.670191,34.237549,43.586105,47.025059,21.547915,39.235538,49.12661,50.99073,58.763775,40.803993,20.263945
BLR,2060,20.48366,34.341911,43.974129,47.509995,21.373016,39.232746,49.37392,51.280586,59.288429,40.835239,20.498018
BLR,2061,20.290741,34.443802,44.362473,47.994041,21.190466,39.223366,49.619854,51.570862,59.812252,40.858921,20.735106
BLR,2062,20.086304,34.533432,44.749031,48.466053,20.997074,39.208755,49.863892,51.860718,60.333561,40.877354,20.975695
BLR,2063,19.878086,34.622345,45.136219,48.940651,20.798954,39.190556,50.108585,52.151363,60.858139,40.891598,21.218763
BLR,2064,19.666193,34.710659,45.524044,49.41787,20.596209,39.168835,50.353992,52.442795,61.386021,40.901741,21.464336
BLR,2065,19.450636,34.798393,45.912487,49.897713,20.388805,39.143616,50.600121,52.734997,61.917221,40.907764,21.712437
BLR,2066,19.231239,34.883762,46.300739,50.376637,20.177214,39.114605,50.844826,53.027008,62.447571,40.910145,21.963173
BLR,2067,19.007414,34.957932,46.683552,50.846443,19.961926,39.082123,51.087883,53.317398,62.975708,40.908936,22.216614
BLR,2068,18.78019,35.031624,47.066959,51.318794,19.742128,39.046318,51.331665,53.608532,63.507072,40.903675,22.472635
BLR,2069,18.549614,35.104885,47.450958,51.793705,19.517822,39.007233,51.576191,53.900402,64.041687,40.894367,22.731268
