wbregion2,Country,cntry_code
Advanced Economies,Australia,AUS
Advanced Economies,Austria,AUT
Central Asia & Europe,Belarus,BLR
Advanced Economies,Belgium,BEL
Latin America & Caribbean,Bolivia,BOL
Latin America & Caribbean,Brazil,BRA
Central Asia & Europe,Bulgaria,BGR
Advanced Economies,Canada,CAN
Latin America & Caribbean,Chile,CHL
Eastern Asia & the Pacific,China,CHN
Latin America & Caribbean,Colombia,COL
Latin America & Caribbean,Costa Rica,CRI
Advanced Economies,Czech Republic,CZE
Advanced Economies,Denmark,DNK
Latin America & Caribbean,Dominican Republic,DOM
Latin America & Caribbean,Ecuador,ECU
Central Asia & Europe,Estonia,EST
Advanced Economies,Finland,FIN
Advanced Economies,France,FRA
Middle East & North Africa,Georgia,GEO
Advanced Economies,Germany,DEU
Advanced Economies,Greece,GRC
Latin America & Caribbean,Guatemala,GTM
Advanced Economies,Hungary,HUN
South Asia,India,IND
Advanced Economies,Ireland,IRL
Middle East & North Africa,Israel,ISR
Advanced Economies,Italy,ITA
Latin America & Caribbean,Jamaica,JAM
Central Asia & Europe,Latvia,LVA
Central Asia & Europe,Lithuania,LTU
Advanced Economies,Luxembourg,LUX
Advanced Economies,Malta,MLT
Latin America & Caribbean,Mexico,MEX
Advanced Economies,Netherlands,NLD
Advanced Economies,New Zealand,NZL
Advanced Economies,Norway,NOR
Latin America & Caribbean,Panama,PAN
Latin America & Caribbean,Peru,PER
Eastern Asia & the Pacific,Philippines,PHL
Advanced Economies,Poland,POL
Advanced Economies,Portugal,PRT
Advanced Economies,Slovak Republic,SVK
Advanced Economies,Slovenia,SVN
Advanced Economies,Spain,ESP
Advanced Economies,Sweden,SWE
Eastern Asia & the Pacific,Thailand,THA
Central Asia & Europe,Turkey,TUR
Advanced Economies,United Kingdom,GBR
Advanced Economies,United States,USA
