scenario,year,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
SSP1,2011,49.278087539,33.8,48.72,29.215,41.4804505714,43.57,31.32,34.94,26.106634,16.64,39.36,27.500149,49.44,45.76,37.98,36.457249,41.4804505714,43.0,33.04,36.966496,53.26,54.783241,57.863876,47.0,45.31845975,44.538,66.46,62.24,28.814909,31.83,55.181377,46.56221,49.18,48.82,48.36375,46.16,54.926247,61.93,53.19,45.447083,27.0,32.63,26.892487,29.148983,50.617,23.685022,51.173512,41.33,40.036739,36.75,49.9213276515,32.634968,35.029377,39.17,24.807383,48.78,28.111074,48.18,33.933167,41.58,48.77,40.856,53.33,56.66,49.9213276515,34.031994,55.19928,44.55,54.7,57.4,31.98,60.6709090909,26.491692,41.57,37.028835,31.613169,45.685,36.9,27.03,36.961308,31.506916,60.707535,39.66,32.11,27.42,54.51,27.77,37.7,38.65,41.4804505714,43.64,43.0,42.48,41.4804505714,42.58,43.7866666667,60.18,35.764088,28.509956,36.03,44.1388871429,46.72,30.63,46.63,42.78,54.873459,44.05,39.04,27.524786,44.1,30.63,39.88,51.58,43.48,41.8083333333,52.12,52.26,66.97,42.1,37.45,48.97,45.73,26.849291,25.54,38.75,32.766598,41.4804505714,35.59,53.756649,47.856544,43.864613,49.88,36.523933,55.8,37.222191,52.6,40.46,42.1,46.4,27.21,41.04,57.34,41.4804505714,41.39,46.28,53.3,46.1,39.99,42.43,45.7,29.65,36.82,57.61,27.051746,24.87,27.24,57.45,41.77,49.32,52.02,41.986904,30.77,40.77,37.56,38.1,40.27,41.81,40.04,39.8,43.78,48.98,24.55,43.37,40.259327,35.27,49.278087539,46.94,46.69,43.18,48.69,41.89,69.38,61.62,45.4333333333
SSP1,2012,49.1026321006,33.6651555,48.6766175051,29.2082839603,41.2967083103,43.2735583621,31.1437487196,34.7292221932,26.634933,16.7328895,39.2251555,27.366737,49.3925550273,45.6579636107,37.8451555,36.566883,41.2967083103,42.7555613931,32.8491408579,37.46426,53.2055994444,54.507,57.20129,46.7849710024,45.0567523083,44.2572579302,66.4055994444,62.1855994444,28.168718,31.6054665134,55.182858,46.706303,49.1340220332,48.7760532721,48.3223775854,46.1164597418,54.652508,61.8755994444,53.1355994444,45.088871,26.8651555,32.3950693053,27.118067,29.540003,50.5629140044,23.949938,51.153431,41.0587168632,39.349384,36.6151555,49.8233798326,31.979422,35.358841,39.0351555,25.085974,48.7362789653,28.465889,48.1396643636,33.723827,41.6570451429,48.7263353886,40.6590523964,53.2755994444,56.6055994444,49.8233798326,33.149071,54.849777,44.2710128141,54.6455994444,57.3455994444,31.7412658645,60.6165085354,26.71574,41.2610786186,36.841217,31.112347,45.5719955861,36.7651555,27.1228895,37.027214,31.350309,61.125591,39.5251555,31.9829374043,27.5092830619,54.4555994444,27.7015013934,37.5651555,38.5151555,41.2967083103,43.337172025,42.7555613931,42.2830027547,41.2967083103,42.3738794159,43.4704577948,60.1255994444,35.985756,27.704792,36.1070451429,44.0128789996,46.460388703,30.5184944892,46.3560586782,42.5556327384,54.846306,44.1270451429,38.9051555,27.61573,43.7552046667,30.4951555,39.7451555,51.5318184319,43.191769367,41.6726145134,52.0668798242,52.2055994444,66.9155994444,42.0064204111,37.3151555,48.9252069225,45.6235764009,26.75708,25.6328895,38.6151555,32.555305,41.2967083103,35.4551555,53.967205,47.552914,43.43948,49.8300724019,36.736073,55.8770451429,37.022118,52.5455994444,40.3251555,42.0064204111,46.0894375037,27.3028895,41.1170451429,57.2855994444,41.2967083103,41.1093073021,45.950330804,53.2455994444,46.0476853221,39.8551555,42.237564424,45.589189191,29.6110695293,36.6851555,57.5555994444,27.337002,24.9628895,27.3328895,57.3955994444,41.4297134147,49.2732321069,51.9677943812,40.701477,30.6458177655,40.8470451429,37.4251555,37.9651555,40.1351555,41.6741291244,40.1170451429,39.6651555,43.4643993507,48.9351504992,24.6428895,43.0918050397,40.167362,35.166424872,49.1026321006,46.7154176525,46.4256120281,42.9191393833,48.6467867751,41.7468304534,69.3255994444,61.5655994444,45.2835251037
SSP1,2013,49.032900113,33.5693061667,48.5861011163,29.1687068806,41.2297744629,43.2425510822,31.0974269918,34.6880903623,26.592031,16.7029776111,39.1293061667,27.234299,49.3142874772,45.5751346587,37.7493061667,36.640442,41.2297744629,42.7036875102,32.8087215505,37.53833,53.1483037778,54.322598,56.843933,46.7352933732,44.9777305019,44.2268601043,66.3483037778,62.1283037778,28.136391,31.5619372838,55.218697,46.319786,49.0513312913,48.6872381109,48.2258005732,46.0164683917,54.520172,61.8183037778,53.0783037778,45.327019,26.7693061667,32.352141419,27.00139,29.455011,50.5046699033,23.942957,50.844185,41.0176145476,39.156185,36.5193061667,49.752164253,32.014999,35.125793,38.9393061667,25.131369,48.6467833131,28.364538,48.0399613457,33.583172,41.6262092143,48.6366696136,40.5881223952,53.2183037778,56.5483037778,49.752164253,32.867195,54.806759,44.2401001163,54.5883037778,57.2883037778,31.6985579579,60.5592128687,26.631929,41.2350789286,36.543476,31.036804,45.4923845837,36.6693061667,27.0929776111,36.943058,31.214849,61.147034,39.4293061667,31.9337707503,27.4790212234,54.3983037778,27.6559292626,37.4693061667,38.4193061667,41.2297744629,43.3087273103,42.7036875102,42.2120926726,41.2297744629,42.3066301414,43.4473822645,60.0683037778,35.982857,27.511337,36.0762092143,43.8993073715,46.4237912409,30.4687491977,46.3236655555,42.4957050789,54.786205,44.0962092143,38.8093061667,27.535107,43.7435996667,30.3993061667,39.6493061667,51.4557718018,43.1574673603,41.5771160074,52.0057236651,52.1483037778,66.8583037778,41.9097872492,37.2193061667,48.8389436028,45.5420346287,26.654318,25.6029776111,38.5193061667,32.603443,41.2297744629,35.3593061667,53.965061,47.535175,43.331184,49.7592902533,36.788715,55.8462092143,36.515358,52.4883037778,40.2293061667,41.9097872492,46.067788804,27.2729776111,41.0862092143,57.2283037778,41.2297744629,41.0719806429,45.9342878901,53.1883037778,45.9502683317,39.7593061667,42.1648239383,45.5089345987,29.5683665329,36.5893061667,57.4983037778,27.343157,24.9329776111,27.3029776111,57.3383037778,41.416299246,49.1929230837,51.9038807274,40.501995,30.59648452,40.8162092143,37.3293061667,37.8693061667,40.0393061667,41.5786916319,40.0862092143,39.5693061667,43.4410797666,48.8490573022,24.6129776111,43.0534761447,40.278095,35.1291278579,49.032900113,46.6685429162,46.3904160124,42.873854954,48.555760018,41.6543216069,69.2683037778,61.5083037778,45.21471211
SSP1,2014,48.9750271454,33.47103,48.5588212826,29.210315235,41.1712608991,43.190660948,31.1328636442,34.7237426978,26.708775,16.7519058889,39.03103,27.381855,49.2855269011,45.5466827274,37.65103,36.650692,41.1712608991,42.6368700431,32.8434244254,37.482784,53.1170079444,54.120655,56.824394,46.7023924656,44.9289436184,44.1913718072,66.3170079444,62.0970079444,28.146719,31.5986694048,55.151928,46.264843,49.0231054278,48.6597526185,48.1992533984,45.9903196898,54.408348,61.7870079444,53.0470079444,45.192547,26.67103,32.3891525095,27.10144,29.63509,50.4734887247,24.053181,50.698563,40.958502732,39.101265,36.42103,49.7080750411,32.098282,35.190586,38.84103,25.187254,48.6193800841,28.445055,48.0137920687,33.593086,41.6481419286,48.6092869506,40.5076727608,53.1870079444,56.5170079444,49.7080750411,32.968697,54.76659,44.2046809161,54.5570079444,57.2570079444,31.7356710991,60.5279170354,26.650032,41.1867710719,35.919109,31.093987,45.463500797,36.57103,27.1419058889,37.032688,31.243074,61.145279,39.33103,31.9678876122,27.5276844672,54.3670079444,27.6929972705,37.37103,38.32103,41.1712608991,43.2586703574,42.6368700431,42.1316572877,41.1712608991,42.2288135868,43.4011662628,60.0370079444,36.095604,27.545946,36.0981419286,43.8327404206,46.3891349478,30.502656666,46.2884450313,42.423126185,54.836025,44.1181419286,38.71103,27.581314,43.7055893333,30.30103,39.55103,51.4267427422,43.1032202788,41.479090812,51.9748945205,52.1170079444,66.8270079444,41.8474020727,37.12103,48.8111496224,45.5134099552,26.713699,25.6519058889,38.42103,32.70697,41.1712608991,35.26103,53.939537,47.486099,43.171455,49.7296247791,36.854771,55.8681419286,36.497433,52.4570079444,40.13103,41.8474020727,46.031126356,27.3219058889,41.1081419286,57.1970079444,41.1712608991,41.015569817,45.896873134,53.1570079444,45.9237741455,39.66103,42.0830791381,45.4801371831,29.607607477,36.49103,57.4670079444,27.583836,24.9819058889,27.3519058889,57.3070079444,41.3769946885,49.164409298,51.8733849319,40.568134,30.6305240984,40.8381419286,37.23103,37.77103,39.94103,41.4807100837,40.1081419286,39.47103,43.3946891762,48.8212427559,24.6619058889,42.9963483498,40.404778,35.1596701765,48.9750271454,46.6352658547,46.3555716423,42.8117513815,48.5285418818,41.5584351229,69.2370079444,61.4770079444,45.1843792081
SSP1,2015,48.9162648281,33.3787443333,48.5059257,29.2351188378,41.0875223276,43.1099813144,31.1346794163,34.6940745547,26.822889,16.7667788333,38.9387443333,27.331863,49.2439285452,45.4810864065,37.5587443333,36.742401,41.0875223276,42.552455511,32.8168861235,37.473598,53.0947521667,53.912163,56.85302,46.6313920098,44.8479480281,44.1172284705,66.2947521667,62.0747521667,28.223019,31.5745675769,55.112892,46.056538,48.9774275178,48.6084260952,48.1407680423,45.9275210827,54.236568,61.7647521667,53.0247521667,45.09193,26.5787443333,32.3594695223,27.15427,29.710863,50.4503581964,24.103361,50.705051,40.8760161951,38.999905,36.3287443333,49.6556735509,31.988317,35.148479,38.7487443333,25.280981,48.5674259371,28.419847,47.9524235661,33.579544,41.6636997143,48.5571758976,40.4198473877,53.1647521667,56.4947521667,49.6556735509,32.772743,54.74271,44.1306215108,54.5347521667,57.2347521667,31.7039464477,60.5056612576,26.715981,41.1069877432,35.544987,31.130737,45.3973799047,36.4787443333,27.1567788333,36.954456,31.222324,61.126614,39.2387443333,31.9961075766,27.5429169731,54.3447521667,27.7239605866,37.2787443333,38.2287443333,41.0875223276,43.1784493955,42.552455511,42.0438354799,41.0875223276,42.1416470244,43.3219063274,60.0147521667,36.288704,27.485163,36.1136997143,43.738311863,46.3160022396,30.5379077645,46.2146269563,42.3372701133,54.901955,44.1336997143,38.6187443333,27.624931,43.6283825,30.2087443333,39.4587443333,51.3871927631,43.0219509244,41.3868679397,51.9490781718,52.0947521667,66.8047521667,41.7696501073,37.0287443333,48.762176688,45.4476038058,26.67177,25.6667788333,38.3287443333,32.746208,41.0875223276,35.1687443333,53.899742,47.443909,43.025288,49.694930284,36.800514,55.8836997143,36.372955,52.4347521667,40.0387443333,41.7696501073,45.9555567879,27.3367788333,41.1236997143,57.1747521667,41.0875223276,40.9337590822,45.8203897435,53.1347521667,45.8605558813,39.5687443333,41.9949297077,45.414121205,29.6356228541,36.3987443333,57.4447521667,27.866465,24.9967788333,27.3667788333,57.2847521667,41.2994640333,49.120928071,51.8450253183,40.351677,30.6602902235,40.8536997143,37.1387443333,37.6787443333,39.8487443333,41.3884981321,40.1236997143,39.3787443333,43.3153855578,48.7724267275,24.6767788333,42.9143582255,40.567806,35.1468469054,48.9162648281,46.5638084876,46.2822104785,42.7285162911,48.4751755815,41.4667473676,69.2147521667,61.4547521667,45.1164980875
SSP1,2016,48.7788733516,33.2754473333,48.407491553,29.2638784807,40.9660075254,42.959033424,31.1506193776,34.6847541082,26.92145,16.7849932222,38.8354473333,27.297714,49.1549053243,45.3625896675,37.4554473333,36.824291,40.9660075254,42.4168419933,32.8082486434,37.509041,53.0218418889,53.55267,56.797371,46.4911542796,44.7112137119,43.9643468396,66.2218418889,62.0018418889,28.287785,31.5719154275,54.976421,45.727261,48.8850059069,48.5112990213,48.0376774475,45.8202796275,54.036442,61.6918418889,52.9518418889,44.649052,26.4754473333,32.3528137024,27.303234,29.768976,50.3767192254,24.104578,50.669903,40.7324869076,38.807148,36.2254473333,49.5582644678,31.93388,35.00753,38.6454473333,25.393553,48.469776034,28.372194,47.8469312246,33.548386,41.6642480714,48.4593952871,40.2982377602,53.0918418889,56.4218418889,49.5582644678,32.765755,54.415936,43.9780775384,54.4618418889,57.1618418889,31.6958260304,60.4327509798,26.76009,40.9523598936,35.179264,31.278639,45.2767728,36.3754473333,27.1749932222,36.893154,31.250841,61.102222,39.1354473333,32.0309887077,27.5615131761,54.2718418889,27.7592611595,37.1754473333,38.1254473333,40.9660075254,43.0256183366,42.4168419933,41.9222112144,40.9660075254,42.017332518,43.1651295819,59.9418418889,36.297516,27.39715,36.1142480714,43.5933626824,46.1671863962,30.577761485,46.0630538623,42.2075751253,54.896412,44.1342480714,38.5154473333,27.647354,43.4631763333,30.1054473333,39.3554473333,51.2998759009,42.8734242508,41.2833131249,51.8732018325,52.0218418889,66.7318418889,41.6635367334,36.9254473333,48.6670102236,45.3282629205,26.693945,25.6849932222,38.2254473333,32.754871,40.9660075254,35.0654473333,53.730953,47.347034,42.853474,49.6116581845,36.732815,55.8842480714,36.284832,52.3618418889,39.9354473333,41.6635367334,45.7969373866,27.3549932222,41.1242480714,57.1018418889,40.9660075254,40.7874551541,45.6580940081,53.0618418889,45.7516261335,39.4654473333,41.8746505626,45.2939361735,29.6677930439,36.2954473333,57.3718418889,28.095699,25.0149932222,27.3849932222,57.2118418889,41.1355873819,49.0303363624,51.7670303637,39.975132,30.6962805002,40.8542480714,37.0354473333,37.5754473333,39.7454473333,41.28489848,40.1242480714,39.2754473333,43.1587881617,48.6773909704,24.6949932222,42.7687908168,40.746109,35.1412021984,48.7788733516,46.4217325903,46.1324755516,42.5880603399,48.3763493126,41.3609955229,69.1418418889,61.3818418889,44.9888095334
SSP1,2017,48.7428778629,33.2848556667,48.3668845829,29.3025851772,40.9344662835,42.8821255988,31.1896360038,34.715942975,27.068325,16.8130078333,38.8448556667,27.315554,49.1273518728,45.3003692798,37.4648556667,37.048664,40.9344662835,42.3677112805,32.8420043516,37.674789,53.0166380556,53.39978,56.786903,46.4100759789,44.6572340243,43.8723013489,66.2166380556,61.9966380556,28.385849,31.6023335408,54.945774,45.500263,48.8527386848,48.4725050399,47.9906117051,45.7678219576,54.037834,61.6866380556,52.9466380556,44.344345,26.4848556667,32.381380191,27.261789,29.892607,50.3705046508,24.157442,50.800571,40.6690173473,38.746918,36.2348556667,49.5337142167,31.98271,34.97916,38.6548556667,25.498257,48.4302568571,28.391773,47.7965341155,33.538826,41.7325275714,48.4196948114,40.2744740868,53.0866380556,56.4166380556,49.5337142167,32.889641,54.523071,43.8863249293,54.4566380556,57.1566380556,31.7237151693,60.4275471465,26.844631,40.8687860868,35.257961,31.309624,45.2127219027,36.3848556667,27.2030078333,36.931137,31.260855,61.077377,39.1448556667,32.0787652805,27.5899149178,54.2666380556,27.8045998614,37.1848556667,38.1348556667,40.9344662835,42.945299287,42.3677112805,41.8984210252,40.9344662835,41.9886691512,43.0776632051,59.9366380556,36.607475,27.437933,36.1825275714,43.539989546,46.0786675281,30.6277167322,45.9721433832,42.1691654032,54.894653,44.2025275714,38.5248556667,27.688366,43.3604406667,30.1148556667,39.3648556667,51.2746892713,42.8009022854,41.2922544454,51.8638838941,52.0166380556,66.7266380556,41.6412798613,36.9348556667,48.6309357253,45.2653103289,26.751034,25.7130078333,38.2348556667,32.806061,40.9344662835,35.0748556667,53.618698,47.366642,42.794754,49.5920818833,36.774338,55.9525275714,36.299042,52.3566380556,39.9448556667,41.6412798613,45.6999150128,27.3830078333,41.1925275714,57.0966380556,40.9344662835,40.7189595322,45.5578828196,53.0566380556,45.697704056,39.4748556667,41.8532969622,45.2302513781,29.7099577753,36.3048556667,57.3666380556,28.41556,25.0430078333,27.4130078333,57.2066380556,41.0352600364,49.0006073245,51.7547737788,39.722145,30.7445700326,40.9225275714,37.0448556667,37.5848556667,39.7548556667,41.2937585808,40.1925275714,39.2848556667,43.0716466634,48.6414977709,24.7230078333,42.7016293467,40.974579,35.1862058608,48.7428778629,46.3390598823,46.0431594798,42.5301579073,48.3351984459,41.3659570817,69.1366380556,61.3766380556,44.9186162595
SSP1,2018,48.691110475,33.2890416667,48.3380582729,29.3549897962,40.9053441299,42.8139608308,31.2318698952,34.7404129074,27.170982,16.8542016667,38.8490416667,27.364208,49.0981315252,45.2593816063,37.4690416667,37.420048,40.9053441299,42.3228294696,32.8702973965,37.878075,52.9867430556,53.209137,56.775703,46.3463620772,44.6041772259,43.7953705626,66.1867430556,61.9667430556,28.468399,31.6274659775,54.936169,45.354912,48.8236606285,48.4436240024,47.9619803615,45.7385996239,54.046452,61.6567430556,52.9167430556,44.087795,26.4890416667,32.4028299587,27.409401,30.012794,50.3406401614,24.244719,50.864639,40.6121166209,38.671955,36.2390416667,49.5045818075,31.97543,34.994102,38.6590416667,25.615515,48.4013977106,28.428331,47.7680033336,33.575996,41.8122411429,48.3908411376,40.2508550941,53.0567430556,56.3867430556,49.5045818075,32.977268,54.221951,43.8097471031,54.4267430556,57.1267430556,31.7438177665,60.3976521465,26.952085,40.7950338497,35.337185,31.440891,45.169528228,36.3890416667,27.2442016667,36.951992,31.316589,61.067627,39.1490416667,32.1384216991,27.6315146623,54.2367430556,27.8639582213,37.1890416667,38.1390416667,40.9053441299,42.8742752085,42.3228294696,41.8747798067,40.9053441299,41.9609432034,43.0006481903,59.9067430556,36.859585,27.448612,36.2622411429,43.4960818944,46.0059867787,30.6919155978,45.8965804328,42.1332699968,54.883224,44.2822411429,38.5290416667,27.733841,43.2706268333,30.1190416667,39.3690416667,51.2453974781,42.7364137738,41.2960489922,51.8341130837,51.9867430556,66.6967430556,41.627879294,36.9390416667,48.6019725966,45.223440255,26.825457,25.7542016667,38.2390416667,32.831928,40.9053441299,35.0790416667,53.541649,47.398045,42.719269,49.562620735,36.840481,56.0322411429,36.294296,52.3267430556,39.9490416667,41.627879294,45.6169864376,27.4242016667,41.2722411429,57.0667430556,40.9053441299,40.6578459281,45.4711113096,53.0267430556,45.6667169213,39.4790416667,41.8316981084,45.1874989037,29.7659881875,36.3090416667,57.3367430556,28.762451,25.0842016667,27.4542016667,57.1767430556,40.9474648736,48.9714526498,51.7250916753,39.515297,30.8052466691,41.0022411429,37.0490416667,37.5890416667,39.7590416667,41.2974850488,40.2722411429,39.2890416667,42.9949039639,48.6125291695,24.7642016667,42.6416340374,41.18745,35.2312518664,48.691110475,46.2734245133,45.9695179967,42.4779235837,48.306388554,41.3664157662,69.1067430556,61.3467430556,44.8680202253
SSP1,2019,48.6201065665,33.2811928333,48.2917855142,29.3886372956,40.8576963898,42.7230996066,31.2619434335,34.7583359884,27.231403,16.8765653333,38.8411928333,27.366192,49.0547155307,45.1969983557,37.4611928333,37.754086,40.8576963898,42.2586821834,32.8911529268,38.051109,52.9482182778,52.956448,56.742001,46.2591622124,44.5300377482,43.6937381079,66.1482182778,61.9282182778,28.533821,31.6454597872,54.893158,45.159035,48.7792130248,48.3977480165,47.9142940998,45.6890639033,54.036434,61.6182182778,52.8782182778,43.770866,26.4811928333,32.4182224901,27.505695,30.095695,50.3018941827,24.292713,50.907207,40.5341793095,38.561081,36.2311928333,49.4613443283,31.988201,34.95454,38.6511928333,25.691692,48.3553630156,28.438396,47.7195880018,33.579197,41.8725378571,48.3447667654,40.211103919,53.0182182778,56.3482182778,49.4613443283,33.043808,54.074715,43.7085000743,54.3882182778,57.0882182778,31.7582587147,60.3591273687,27.011442,40.6977617857,35.407932,31.51199,45.1047360655,36.3811928333,27.2665653333,36.945026,31.348598,61.028305,39.1411928333,32.1808017582,27.654286885,54.1982182778,27.9046047707,37.1811928333,38.1311928333,40.8576963898,42.7801333252,42.2586821834,41.8350031307,40.8576963898,41.9164798716,42.8996325452,59.8682182778,37.061321,27.476261,36.3225378571,43.4317775003,45.9089952846,30.7374341927,45.7964416292,42.0794333534,54.804913,44.3425378571,38.5211928333,27.744003,43.1549263333,30.1111928333,39.3611928333,51.2024994629,42.6497705397,41.287751021,51.7946879335,51.9482182778,66.6582182778,41.5982234522,36.9311928333,48.55669177,45.1600934396,26.847965,25.7765653333,38.2311928333,32.852627,40.8576963898,35.0711928333,53.409924,47.398991,42.602722,49.5209505408,36.87175,56.0925378571,36.255714,52.2882182778,39.9411928333,41.5982234522,45.50880451,27.4465653333,41.3325378571,57.0282182778,40.8576963898,40.5750749286,45.3587329695,52.9882182778,45.6152540711,39.4711928333,41.7942647603,45.1231885236,29.803285105,36.3011928333,57.2982182778,29.049997,25.1065653333,27.4765653333,57.1382182778,40.8340805159,48.927560528,51.6850234019,39.25457,30.8483473659,41.0625378571,37.0411928333,37.5811928333,39.7511928333,41.2891089667,40.3325378571,39.2811928333,42.8942007624,48.5672880202,24.7865653333,42.5601461248,41.369671,35.2649574519,48.6201065665,46.1841264421,45.8714773995,42.405340317,48.2599967635,41.3542903594,69.0682182778,61.3082182778,44.7951448252
SSP1,2020,48.5375260586,33.270999,48.2386041881,29.420202393,40.8038502358,42.6226772784,31.2895731474,34.7723795235,27.286419,16.8959835,38.830999,27.364017,49.0038880516,45.1270705144,37.450999,38.080559,40.8038502358,42.1872959834,32.9081138474,38.221218,52.9014209444,52.665359,56.705429,46.1624741495,44.4469575222,43.5814871122,66.1014209444,61.8814209444,28.603531,31.6600179627,54.839699,44.944191,48.7275355454,48.3448936136,47.8599481097,45.632989795,54.024551,61.5714209444,52.8314209444,43.418301,26.470999,32.4299658086,27.593084,30.175303,50.2549145897,24.335772,50.952999,40.4478043445,38.436932,36.220999,49.4111075612,31.988564,34.905384,38.640999,25.760578,48.3023778434,28.444317,47.6646412904,33.576939,41.9287373571,48.2917489008,40.1662345361,52.9714209444,56.3014209444,49.4111075612,33.105152,53.898235,43.5966646906,54.3414209444,57.0414209444,31.7689723201,60.3123300354,27.066118,40.5903713361,35.485001,31.574574,45.0322106493,36.370999,27.2859835,36.930943,31.378752,60.978256,39.130999,32.2217484232,27.6741448581,54.1514209444,27.943704274,37.170999,38.120999,40.8038502358,42.6761451567,42.1872959834,41.7901060301,40.8038502358,41.8664887135,42.7881730923,59.8214209444,37.25108,27.498571,36.3787373571,43.3596933818,45.8017487239,30.7817784032,45.6858012657,42.0192540801,54.679356,44.3987373571,38.510999,27.744864,43.0275055,30.100999,39.350999,51.1520987758,42.5539328634,41.2770690072,51.7471487332,51.9014209444,66.6114209444,41.5640504514,36.920999,48.5043277518,45.0891265683,26.86747,25.7959835,38.220999,32.865559,40.8038502358,35.060999,53.266869,47.393002,42.472218,49.4715615238,36.89323,56.1487373571,36.208961,52.2414209444,39.930999,41.5640504514,45.3894910946,27.4659835,41.3887373571,56.9814209444,40.8038502358,40.4834460924,45.2348944837,52.9414209444,45.5571019029,39.460999,41.7519146885,45.0511826223,29.8387787636,36.290999,57.2514209444,29.337185,25.1259835,27.4959835,57.0914209444,40.7091771625,48.876340741,51.6369542967,38.973114,30.8900738369,41.1187373571,37.030999,37.570999,39.740999,41.2783420519,40.3887373571,39.270999,42.7830809134,48.5149566944,24.8059835,42.4699119117,41.544552,35.2947024186,48.5375260586,46.085175844,45.7630995711,42.3247848134,48.2067173604,41.3394481985,69.0214209444,61.2614209444,44.7139031019
