wbregion2,cntry_code
Central Asia & Europe,AFG
Central Asia & Europe,ALB
Middle East & North Africa,DZA
Sub-Saharan Africa,AGO
Latin America & Caribbean,ARG
Central Asia & Europe,ARM
Latin America & Caribbean,ABW
Advanced Economies,AUS
Advanced Economies,AUT
Central Asia & Europe,AZE
Latin America & Caribbean,BHS
Middle East & North Africa,BHR
South Asia,BGD
Latin America & Caribbean,BRB
Central Asia & Europe,BLR
Advanced Economies,BEL
Latin America & Caribbean,BLZ
Sub-Saharan Africa,BEN
South Asia,BTN
Latin America & Caribbean,BOL
Central Asia & Europe,BIH
Sub-Saharan Africa,BWA
Latin America & Caribbean,BRA
Eastern Asia & the Pacific,BRN
Central Asia & Europe,BGR
Sub-Saharan Africa,BFA
Sub-Saharan Africa,BDI
Eastern Asia & the Pacific,KHM
Sub-Saharan Africa,CMR
Advanced Economies,CAN
Sub-Saharan Africa,CPV
Sub-Saharan Africa,CAF
Sub-Saharan Africa,TCD
Latin America & Caribbean,CHL
Eastern Asia & the Pacific,CHN
Latin America & Caribbean,COL
Sub-Saharan Africa,COM
Sub-Saharan Africa,COG
Latin America & Caribbean,CRI
Central Asia & Europe,HRV
Latin America & Caribbean,CUB
Advanced Economies,CYP
Advanced Economies,CZE
Sub-Saharan Africa,CIV
Sub-Saharan Africa,ZAR
Advanced Economies,DNK
Sub-Saharan Africa,DJI
Latin America & Caribbean,DOM
Latin America & Caribbean,ECU
Middle East & North Africa,EGY
Latin America & Caribbean,SLV
Sub-Saharan Africa,GNQ
Sub-Saharan Africa,ERI
Central Asia & Europe,EST
Sub-Saharan Africa,ETH
Eastern Asia & the Pacific,FJI
Advanced Economies,FIN
Advanced Economies,FRA
Eastern Asia & the Pacific,PYF
Sub-Saharan Africa,GAB
Sub-Saharan Africa,GMB
Middle East & North Africa,GEO
Advanced Economies,DEU
Sub-Saharan Africa,GHA
Advanced Economies,GRC
Latin America & Caribbean,GTM
Sub-Saharan Africa,GIN
Sub-Saharan Africa,GNB
Latin America & Caribbean,GUY
Latin America & Caribbean,HTI
Latin America & Caribbean,HND
Advanced Economies,HKG
Advanced Economies,HUN
Advanced Economies,ISL
South Asia,IND
Eastern Asia & the Pacific,IDN
Middle East & North Africa,IRN
Middle East & North Africa,IRQ
Advanced Economies,IRL
Middle East & North Africa,ISR
Advanced Economies,ITA
Latin America & Caribbean,JAM
Advanced Economies,JPN
Middle East & North Africa,JOR
Central Asia & Europe,KAZ
Sub-Saharan Africa,KEN
Middle East & North Africa,KWT
Central Asia & Europe,KGZ
Eastern Asia & the Pacific,LAO
Central Asia & Europe,LVA
Middle East & North Africa,LBN
Sub-Saharan Africa,LSO
Sub-Saharan Africa,LBR
Middle East & North Africa,LBY
Central Asia & Europe,LTU
Advanced Economies,LUX
Eastern Asia & the Pacific,MAC
Central Asia & Europe,MKD
Sub-Saharan Africa,MDG
Sub-Saharan Africa,MWI
Eastern Asia & the Pacific,MYS
South Asia,MDV
Sub-Saharan Africa,MLI
Advanced Economies,MLT
Sub-Saharan Africa,MRT
Sub-Saharan Africa,MUS
Latin America & Caribbean,MEX
Central Asia & Europe,MDA
Eastern Asia & the Pacific,MNG
Central Asia & Europe,MNE
Middle East & North Africa,MAR
Sub-Saharan Africa,MOZ
Eastern Asia & the Pacific,MMR
Sub-Saharan Africa,NAM
South Asia,NPL
Advanced Economies,NLD
Eastern Asia & the Pacific,NCL
Advanced Economies,NZL
Latin America & Caribbean,NIC
Sub-Saharan Africa,NER
Sub-Saharan Africa,NGA
Advanced Economies,NOR
Middle East & North Africa,OMN
South Asia,PAK
Middle East & North Africa,WBG
Latin America & Caribbean,PAN
Eastern Asia & the Pacific,PNG
Latin America & Caribbean,PRY
Latin America & Caribbean,PER
Eastern Asia & the Pacific,PHL
Advanced Economies,POL
Advanced Economies,PRT
Latin America & Caribbean,PRI
Middle East & North Africa,QAT
Central Asia & Europe,ROM
Central Asia & Europe,RUS
Sub-Saharan Africa,RWA
Latin America & Caribbean,LCA
Latin America & Caribbean,VCT
Eastern Asia & the Pacific,WSM
Sub-Saharan Africa,STP
Middle East & North Africa,SAU
Sub-Saharan Africa,SEN
Central Asia & Europe,SRB
Sub-Saharan Africa,SLE
Eastern Asia & the Pacific,SGP
Advanced Economies,SVK
Advanced Economies,SVN
,SLB
Sub-Saharan Africa,SOM
Sub-Saharan Africa,ZAF
Eastern Asia & the Pacific,KOR
Advanced Economies,ESP
South Asia,LKA
Middle East & North Africa,SDN
Latin America & Caribbean,SUR
Sub-Saharan Africa,SWZ
Advanced Economies,SWE
Advanced Economies,CHE
Middle East & North Africa,SYR
Eastern Asia & the Pacific,TWN
Central Asia & Europe,TJK
Sub-Saharan Africa,TZA
Eastern Asia & the Pacific,THA
Sub-Saharan Africa,TGO
Eastern Asia & the Pacific,TON
Latin America & Caribbean,TTO
Middle East & North Africa,TUN
Central Asia & Europe,TUR
Central Asia & Europe,TKM
Sub-Saharan Africa,UGA
Central Asia & Europe,UKR
Middle East & North Africa,ARE
Advanced Economies,GBR
Advanced Economies,USA
Latin America & Caribbean,URY
Central Asia & Europe,UZB
Eastern Asia & the Pacific,VUT
Latin America & Caribbean,VEN
Eastern Asia & the Pacific,VNM
Middle East & North Africa,YEM
Sub-Saharan Africa,ZMB
Sub-Saharan Africa,ZWE
Eastern Asia & the Pacific,TMP
